date,theme,stock,price,chg,volume,value_mil,reason
2026-06-16,항공기부품,아스트,588,+1.73%,1431706,862,"아스트
												항공기 부품 제조업체로 제조업체 중 최초로 기술특례로 상장. 민항기 동체 제조 사업부문과 항공기 개조 사업부문을 영위중."
2026-06-16,항공기부품,켄코아에어로스페이스,"18,370",+1.49%,1078968,20192,"켄코아에어로스페이스
												항공기부품 제조, 판매 및 항공기 설계, 제조 업체. 사업의 영역은 총 5개 부문으로 나눌 수 있으며, 우주 및 항공기에 사용되는 특수 원소재 공급, 항공기의 생산 및 항공기 부품의 제조, 군용기 개조 창정비 및 여객기-화물기 개조사업을 포함하는 항공 MRO, 우주발사체 관련 파트의 생산, UAM의 개발 제조 부문으로 구분. 주요 매출처는 Boeing, Spirit AeroSystems, Gulfstream Aerospace 등의 민항기 제조업체와 Boeing, Lockheed Martin, Pratt & Whitney 등의 방산 항공기 제조업체, NASA, Space X, Blue Origin 등의 우주 업체로 구성되며, 국내 거래처는 한국항공우주, 대한항공, 한화에어로스페이스 등으로 구성."
2026-06-16,항공기부품,하이즈항공,"2,140",-0.23%,26298,56,"하이즈항공
												항공기 및 항공기 관련 부품 조립, 판매업체. 항공기 기체구조물(주익) 및 후방동체의 부품을 조립/가공을 전문으로 하는 항공기 종합 부품기업. B787, B737, B767 등 Boeing 기종 부품을 주력으로 생산하고 있어 각 프로그램별 1차 공급자(Tier 1), 2차 공급자(Tier 2), 3차 공급자(Tier 3)의 형태로 부품을 생산 및 인도. 대표 고객사로는 보잉(Boeing-BCA, BDS, BGS 모두 포함), ACM(Aerospace Composites Malaysia Sdn Bhd), 중국상용항공기공사 COMAC(Commercial Aircraft Corporation of China)과 BTC(Boeing Tianjin Composites) 등이 있으며, 국내 고객사는 한국항공우주(KAI)와 대한항공(KE) 등."
2026-06-16,항공기부품,오르비텍,"7,400",-0.80%,387664,2914,"오르비텍
												항공사업본부는 항공기 정밀부품 제조 사업을 영위하고 있으며, 주로 보잉 B737의 꼬리동체 구조물인 Bulkhead(항공기 격벽) 조립체 및 정밀 기계 가공부품을 생산."
2026-06-16,항공기부품,대한항공,"29,300",-2.33%,2990653,87267,"대한항공
												보잉, 에어버스 등과 협력해 항공기 구조물 설계, 개발 및 제작에 참여. 보잉787 기종의 날개 및 동체 구조물, 에어버스의 A320 날개 구조물, A350XWB 기종의 화물용 도어 등을 납품. 보잉 737MAX 및 에어버스 A330NEO 기종의 날개 구조물 개발."
2026-06-16,강관업체(Steel pipe),SK오션플랜트,"21,450",+26.92%,7339728,149155,"SK오션플랜트
												원유채굴, 석유배관, 천연가스 구조물, 풍력발전 설비 구조물, 대형 건축물 등 플랜트 분야에서 다양하게 사용되어 지는 후육강관 사업 영위."
2026-06-16,강관업체(Steel pipe),넥스틸,"14,840",+4.51%,324885,4655,"넥스틸
												강관 전문 업체. 유정 굴착 및 채유에 사용되는 유정관(OCTG Pipe), 석유 및 천연가스 산업에서 용수, 가스 및 석유 수송에 사용되는 송유관(Line Pipe), 증기, 물, 가스 등의 배관에 사용되는 배관용 강관, 토목, 건축 등의 구조물에 사용되는 구조용 강관 등을 생산 및 판매. 미국석유협회인증(API) 유정관(OCTG Pipe), 송유관(Line Pipe)을 제조하여 미국 등 전 세계에 수출·판매."
2026-06-16,강관업체(Steel pipe),유에스티,"1,812",+3.72%,33367,60,"유에스티
												스테인리스 강관 제조 및 판매업체. 스테인리스 강관 제조업을 주요사업으로 영위하고 있으며, 소구경 제품에서 대구경 제품에 이르는 모든 수요의 제품을 구비. 특히 400A 이상의 대구경 제품과 316L 제품, sch 20 이상의 제품을 보유."
2026-06-16,강관업체(Steel pipe),금강공업,"4,670",+3.20%,91246,418,"금강공업
												강관 및 건설용 가설자재 전문 생산 업체로 일반배관용, 구조용 등의 강관(흑관, 백관, CGI, OCTG 등)을 생산, 판매."
2026-06-16,강관업체(Steel pipe),휴스틸,"4,755",+2.59%,318023,1483,"휴스틸
												신안그룹 계열의 강관 제조/판매업체. 주요제품으로는 증기, 물, 가스 등의 배관에 사용되는 배관용 강관, 유정 굴착 및 채유에 사용되는 OCTG(Oil Country Tubular Goods), 토목, 건축 등의 구조물에 사용되는 구조용 강관, 전선관 등이 있음. 강관의 주원재료는 HRC(Hot Rolled Coil), STS(Stainless Steel) 및 H.R PLATE(Hot Rolled Steel Plate)이며, 포스코 등에서 구매."
2026-06-16,강관업체(Steel pipe),세아제강,"150,000",+2.18%,10272,1527,"세아제강
												세아그룹 계열의 철강업체로 기존 세아제강에서 강관 제조/판매업 등 제조사업부문이 인적분할됨에 따라 재상장. 구조/유정/배관/상수도용 강관(탄소강관, STS강관, Ti 특수관) 등을 제조/판매중."
2026-06-16,강관업체(Steel pipe),율촌,943,+1.84%,44529,41,"율촌
												철강 제품 중 ERW강관의 조관 및 정밀 인발가공 전문업체. 광산채굴용, 중장비, 산업용 기계, 가구, 보일러, 오토바이 등의 부품에 투입되는 파이프류 소재 제품을 제조 및 공급중. 자동차 부품용 매출이 대부분을 차지."
2026-06-16,강관업체(Steel pipe),하이스틸,"3,250",+1.25%,178894,580,"하이스틸
												자동차, 선박기계, 건설, 배관, 보일러 및 구조물 등에 사용되는 강관을 주요제품으로 생산하는 강관 전문 제조, 판매 업체."
2026-06-16,강관업체(Steel pipe),한국주철관,"6,800",+0.44%,17063,116,"한국주철관
												상하수도용 주철관 제조업체. 상하수도용 덕타일주철관과 일반사업에 필요한 부품 또는 소재관련 주물제품 등을 생산. 강관제조 및 판매업을 영위중인 진방스틸,  한국강재, 에이스스틸 연결대상 종속회사로 보유."
2026-06-16,강관업체(Steel pipe),KBI동양철관,"1,430",+0.21%,551627,787,"KBI동양철관
												강관 전문 생산업체. 후판(Plate)과 코일(Coil)을 원재료로 가스관, 일반배관, 강관말뚝, 나관, 이형관 등을 제조, 판매."
2026-06-16,강관업체(Steel pipe),이렘,208,-1.42%,301145,62,"이렘
												스테인리스 강관 제조 및 판매업체."
2026-06-16,백화점,신세계,"767,000",+8.79%,115979,87890,"신세계
												신세계 백화점을 운영하는 대형 유통업체. 기존 신세계의 백화점 부문과 이마트 부문 중 백화점부문이 분할되어 상장. 백화점, 패션관 및 식품관을 운영."
2026-06-16,백화점,현대백화점,"198,400",+8.30%,178645,34888,"현대백화점
												업계 상위의 백화점 업체. 주요 사업부문으로 백화점 및 면세점 부문 등. 백화점 부문은 13개의 백화점과 10개의 아울렛을 운영중."
2026-06-16,백화점,롯데쇼핑,"198,000",+6.28%,281659,54757,"롯데쇼핑
												백화점, 할인점, 영화관, 아울렛 등을 운영하는 롯데그룹 계열의 국내 최대 유통업체."
2026-06-16,백화점,대구백화점,"4,570",+0.55%,37165,169,"대구백화점
												대구 및 경북지역 중심의 백화점 업체. 백화점 사업을 주력으로 브랜드 및 체인 마트 사업도 영위."
2026-06-16,백화점,한화갤러리아,"2,770",+0.54%,1971960,5519,"한화갤러리아
												한화솔루션에서 백화점 사업 및 도·소매업 등 리테일사업부문이 인적분할되어 재상장된 업체. 서울 압구정에 위치한 갤러리아 명품관을 포함하여 광교, 천안, 대전, 진주 지역 등에서 총 5개의 백화점(종속회사 한화갤러리아타임월드가 운영하는 갤러리아 타임월드점 포함)을 운영."
2026-06-16,백화점,광주신세계,"37,350",-0.93%,20275,755,"광주신세계
												신세계 계열의 광주소재 지방백화점 운영 업체."
2026-06-16,건설 중소형,일성건설,"1,677",+30.00%,3265837,5347,"일성건설
												기업 업무시설공사 등 B2B사업 및 고속도로, 철도, 지하철 등 토목공사와 아파트, 오피스, 공장, 건물 신축 등 건축공사,녹지조성사업 등의 조경공사를 영위하고 있는 종합건설업체."
