종목명,종목코드,현재가,등락률(%),시장
LG유플러스,032640,15990,+0.95,KOSPI
LG이노텍,011070,595000,+3.84,KOSPI
LG전자,066570,143200,+1.63,KOSPI
LG전자우,066575,61400,+1.82,KOSPI
LG헬로비전,037560,2350,-0.42,KOSPI
LG화학,051910,429000,+8.06,KOSPI
LG화학우,051915,196100,+5.03,KOSPI
LIG디펜스앤에어로스페이스,079550,983000,+4.46,KOSPI
LIG아큐버,073490,53000,+0.76,KOSDAQ
LK삼양,225190,2190,+1.86,KOSDAQ
LS,006260,509000,+12.36,KOSPI
LS ELECTRIC,010120,294000,+5.76,KOSPI
LS네트웍스,000680,4210,-5.92,KOSPI
LS마린솔루션,060370,49550,+29.88,KOSDAQ
LS머트리얼즈,417200,30350,+1.00,KOSDAQ
LS에코에너지,229640,90400,+3.79,KOSPI
LS증권,078020,8290,+5.74,KOSDAQ
LS티라유텍,322180,9260,+3.70,KOSDAQ
LX세미콘,108320,63100,+0.80,KOSPI
LX인터내셔널,001120,52300,-2.06,KOSPI
LX하우시스,108670,42500,+17.73,KOSPI
LX하우시스우,108675,19940,+17.71,KOSPI
LX홀딩스,383800,9200,+1.10,KOSPI
LX홀딩스1우,38380K,8870,-0.22,KOSPI
M83,476080,7130,-1.11,KOSDAQ
MDS테크,086960,1115,+0.00,KOSDAQ
MH에탄올,023150,4485,-0.33,KOSPI
NAVER,035420,209000,-0.95,KOSPI
NC,036570,267500,-1.11,KOSPI
NEW,160550,1744,-1.64,KOSDAQ
NE능률,053290,2135,-2.95,KOSDAQ
NHN,181710,40600,-0.98,KOSPI
NHN KCP,060250,20050,+2.04,KOSDAQ
NHN벅스,104200,4130,-6.03,KOSDAQ
NH올원리츠,400760,3270,-2.68,KOSPI
NH투자증권,005940,36450,+8.32,KOSPI
NH투자증권우,005945,28200,+3.68,KOSPI
NH프라임리츠,338100,4675,-1.99,KOSPI
NICE,034310,14760,+1.17,KOSPI
NICE인프라,063570,4550,-2.15,KOSDAQ
NICE평가정보,030190,15030,-1.76,KOSPI
NI스틸,008260,4100,+4.06,KOSPI
NPC,004250,3930,+0.13,KOSPI
NPC우,004255,2405,+0.21,KOSPI
NPX,222160,8040,+0.00,KOSDAQ
OCI,456040,144300,-3.80,KOSPI
OCI홀딩스,010060,355500,-3.40,KOSPI
PI첨단소재,178920,30500,+18.45,KOSPI
PKC,001340,7390,+0.82,KOSPI
PN풍년,024940,3260,-1.36,KOSDAQ
POSCO홀딩스,005490,502000,+8.66,KOSPI
PS일렉트로닉스,332570,10470,+29.90,KOSDAQ
RFHIC,218410,98000,+3.92,KOSDAQ
RF머트리얼즈,327260,108600,+16.40,KOSDAQ
RF시스템즈,474610,14710,+5.45,KOSDAQ
S&K폴리텍,091340,2695,+2.47,KOSDAQ
S-Oil,010950,128000,-4.83,KOSPI
S-Oil우,010955,59500,-3.09,KOSPI
SAMG엔터,419530,39500,-7.93,KOSDAQ
SBI인베스트먼트,019550,638,+0.00,KOSDAQ
SBS,034120,16020,+0.75,KOSPI
SB성보,003080,2670,-0.93,KOSPI
SCL사이언스,246960,1993,-2.30,KOSDAQ
SDN,099220,1390,-4.07,KOSDAQ
SFA반도체,036540,8620,+3.86,KOSDAQ
SG,255220,2590,-2.08,KOSDAQ
SG&G,040610,2175,+0.00,KOSDAQ
SGA솔루션즈,184230,754,+0.00,KOSDAQ
SGC E&C,016250,17220,-2.38,KOSDAQ
SGC에너지,005090,60500,+1.34,KOSPI
SG글로벌,001380,1098,+0.00,KOSPI
SG세계물산,004060,489,+0.00,KOSPI
SHD,001770,16910,+0.71,KOSPI
SH에너지화학,002360,358,+0.00,KOSPI
SIMPAC,009160,6440,+9.71,KOSPI
SJG세종,033530,7890,-0.75,KOSPI
SJM,123700,3830,-0.13,KOSPI
SJM홀딩스,025530,3865,+0.39,KOSPI
SK,034730,475500,+11.88,KOSPI
SKAI,357880,3175,-3.79,KOSDAQ
SKC,011790,124000,+5.08,KOSPI
SK가스,018670,266500,-7.79,KOSPI
SK네트웍스,001740,6590,+12.27,KOSPI
SK디스커버리,006120,55600,-0.54,KOSPI
